75.295924_18.454331;77.325956_29.460769;dates
-0.8591561317443848;-0.8787899613380432;2002-01-01
-0.8930653929710388;-0.8913111686706543;2002-01-02
-0.8851210474967957;-0.900473415851593;2002-01-03
-0.8771559000015259;-0.892679750919342;2002-01-04
-0.875586986541748;-0.8912111520767212;2002-01-05
-0.8558298945426941;-0.8775578141212463;2002-01-06
-0.8572291731834412;-0.8544859886169434;2002-01-07
-0.8559837341308594;-0.8491939306259155;2002-01-08
-0.873569130897522;-0.8624423146247864;2002-01-09
-0.8854905962944031;-0.8766573667526245;2002-01-10
-0.8854844570159912;-0.9156240224838257;2002-01-11
-0.8951048851013184;-0.9058963060379028;2002-01-12
-0.9193795919418335;-0.9054877758026123;2002-01-13
-0.8867403864860535;-0.8861526250839233;2002-01-14
-0.852687418460846;-0.8699896931648254;2002-01-15
-0.8360837697982788;-0.8670070767402649;2002-01-16
-0.8220670819282532;-0.8652727603912354;2002-01-17
-0.8039267659187317;-0.8781701922416687;2002-01-18
-0.8005810379981995;-0.8665540218353271;2002-01-19
-0.815381646156311;-0.8605113625526428;2002-01-20
-0.8270617127418518;-0.8811138868331909;2002-01-21
-0.8721656203269958;-0.8885471820831299;2002-01-22
-0.931371808052063;-0.8811215162277222;2002-01-23
-0.9312667846679688;-0.8621591925621033;2002-01-24
-0.9066411256790161;-0.8553742170333862;2002-01-25
-0.8848599195480347;-0.8504513502120972;2002-01-26
-0.8582780361175537;-0.8474674224853516;2002-01-27
-0.8289324641227722;-0.858592689037323;2002-01-28
-0.8251274228096008;-0.8596596717834473;2002-01-29
-0.8321088552474976;-0.8551021814346313;2002-01-30
-0.8333104252815247;-0.8532230257987976;2002-01-31
-0.8332394957542419;-0.8512039184570312;2002-02-01
-0.8099387884140015;-0.8407905101776123;2002-02-02
-0.8016595840454102;-0.8316670060157776;2002-02-03
-0.8279323577880859;-0.8187004923820496;2002-02-04
-0.8226523399353027;-0.8142890930175781;2002-02-05
-0.8170268535614014;-0.8316619992256165;2002-02-06
-0.8266754150390625;-0.8370645642280579;2002-02-07
-0.847964882850647;-0.8318512439727783;2002-02-08
-0.8614837527275085;-0.8439162969589233;2002-02-09
-0.8872325420379639;-0.848103940486908;2002-02-10
-0.9172977209091187;-0.8448753356933594;2002-02-11
-0.9061659574508667;-0.8494154810905457;2002-02-12
-0.8867427110671997;-0.8710489273071289;2002-02-13
-0.8749438524246216;-0.8821286559104919;2002-02-14
-0.8788370490074158;-0.8933328986167908;2002-02-15
-0.8703531622886658;-0.9143926501274109;2002-02-16
-0.8868316411972046;-0.9360306262969971;2002-02-17
-0.8954746723175049;-0.9343738555908203;2002-02-18
-0.8999841809272766;-0.9471242427825928;2002-02-19
-0.9209088683128357;-0.9636995792388916;2002-02-20
-0.9693409204483032;-0.9692707657814026;2002-02-21
-0.988830029964447;-0.9790310263633728;2002-02-22
-1.011789083480835;-0.9905881285667419;2002-02-23
-1.0491830110549927;-0.9952319860458374;2002-02-24
-1.0420920848846436;-0.9831085205078125;2002-02-25
-1.0117005109786987;-0.9731793403625488;2002-02-26
-0.995421826839447;-0.9717534780502319;2002-02-27
-0.9609282612800598;-0.9670026898384094;2002-02-28
-0.9484157562255859;-0.9772348999977112;2002-03-01
-0.9508174061775208;-0.9755868315696716;2002-03-02
-0.9526061415672302;-0.9749704599380493;2002-03-03
-0.9350098967552185;-0.9814776182174683;2002-03-04
-0.9188019037246704;-0.9797006845474243;2002-03-05
-0.9254478216171265;-0.9660996198654175;2002-03-06
-0.9258224964141846;-0.9662448763847351;2002-03-07
-0.9275656342506409;-0.9679585099220276;2002-03-08
-0.934496283531189;-0.9509968757629395;2002-03-09
-0.9302764534950256;-0.9474548697471619;2002-03-10
-0.9440832734107971;-0.9267276525497437;2002-03-11
-0.9426407217979431;-0.9088115096092224;2002-03-12
-0.9327237606048584;-0.9152842164039612;2002-03-13
-0.9383784532546997;-0.9220455884933472;2002-03-14
-0.9550713300704956;-0.9571598172187805;2002-03-15
-0.929642379283905;-0.9543607831001282;2002-03-16
-0.9125248789787292;-0.9504234194755554;2002-03-17
-0.9037640690803528;-0.9570766687393188;2002-03-18
-0.9154952764511108;-0.9759150743484497;2002-03-19
-0.9385050535202026;-0.9683372378349304;2002-03-20
-0.929737389087677;-0.9640945196151733;2002-03-21
-0.9261205792427063;-0.9431443810462952;2002-03-22
-0.918488621711731;-0.9347410202026367;2002-03-23
-0.9071201682090759;-0.923309326171875;2002-03-24
-0.8967095613479614;-0.9183998107910156;2002-03-25
-0.8890318870544434;-0.912521243095398;2002-03-26
-0.9125630855560303;-0.8925635814666748;2002-03-27
-0.9178242087364197;-0.8732497692108154;2002-03-28
-0.9298152923583984;-0.8746147751808167;2002-03-29
-0.8891232013702393;-0.8744211792945862;2002-03-30
-0.8890610933303833;-0.8843036890029907;2002-03-31
-0.8779227137565613;-0.8990157842636108;2002-04-01
-0.8661275506019592;-0.920173704624176;2002-04-02
-0.8618316054344177;-0.9309406876564026;2002-04-03
-0.8707295656204224;-0.9528893828392029;2002-04-04
-0.885826587677002;-0.9505348205566406;2002-04-05
-0.9036915898323059;-0.9607095122337341;2002-04-06
-0.9086264371871948;-0.9712011814117432;2002-04-07
-0.9286816716194153;-0.9577344655990601;2002-04-08
-0.9439116716384888;-0.9400817155838013;2002-04-09
-0.9491490721702576;-0.9400904774665833;2002-04-10
-0.9617534279823303;-0.9590895771980286;2002-04-11
-0.9558660984039307;-0.9566516280174255;2002-04-12
-0.939366340637207;-0.9624556303024292;2002-04-13
-0.9244058132171631;-0.9664961099624634;2002-04-14
-0.9092056155204773;-0.9529287815093994;2002-04-15
-0.8871808648109436;-0.9508894085884094;2002-04-16
-0.8651390671730042;-0.9432653784751892;2002-04-17
-0.8572174310684204;-0.9508277177810669;2002-04-18
-0.8600842952728271;-0.9460336565971375;2002-04-19
-0.8656659722328186;-0.9404197931289673;2002-04-20
-0.8681168556213379;-0.9473051428794861;2002-04-21
-0.8786046504974365;-0.9515823721885681;2002-04-22
-0.8858025670051575;-0.9470934271812439;2002-04-23
-0.8933441042900085;-0.9276105761528015;2002-04-24
-0.9145347476005554;-0.9134029150009155;2002-04-25
-0.9310447573661804;-0.910171627998352;2002-04-26
-0.9356861114501953;-0.9373451471328735;2002-04-27
-0.9549142718315125;-0.9511036276817322;2002-04-28
-0.9650415778160095;-0.9833188652992249;2002-04-29
-0.9643514156341553;-0.9846270084381104;2002-04-30
-0.943617045879364;-0.9834986329078674;2002-05-01
-0.9445871710777283;-0.9900590181350708;2002-05-02
-0.9517673850059509;-0.9953960180282593;2002-05-03
-0.9319127798080444;-0.9964536428451538;2002-05-04
-0.9313780665397644;-0.9841746091842651;2002-05-05
-0.9264682531356812;-0.9678184986114502;2002-05-06
-0.9380019307136536;-0.9385734796524048;2002-05-07
-0.9472187161445618;-0.9300944805145264;2002-05-08
-0.9277963638305664;-0.9298432469367981;2002-05-09
-0.9306715130805969;-0.9344335198402405;2002-05-10
-0.9298060536384583;-0.9432165026664734;2002-05-11
-0.9229008555412292;-0.9546303153038025;2002-05-12
-0.9234965443611145;-0.9613338708877563;2002-05-13
-0.941745400428772;-0.964500367641449;2002-05-14
-0.9314818382263184;-0.9608690142631531;2002-05-15
-0.9041282534599304;-0.9606355428695679;2002-05-16
-0.8942493796348572;-0.956179141998291;2002-05-17
-0.8836540579795837;-0.9554799795150757;2002-05-18
-0.8841982483863831;-0.9534474611282349;2002-05-19
-0.8797492384910583;-0.9513907432556152;2002-05-20
-0.8814393281936646;-0.9448201656341553;2002-05-21
-0.8926088213920593;-0.9377655386924744;2002-05-22
-0.8924896717071533;-0.9302467107772827;2002-05-23
-0.8896717429161072;-0.9174349904060364;2002-05-24
-0.8820311427116394;-0.9021846055984497;2002-05-25
-0.8738482594490051;-0.8906115889549255;2002-05-26
-0.8740498423576355;-0.8905208110809326;2002-05-27
-0.871505081653595;-0.901888370513916;2002-05-28
-0.8614516854286194;-0.91465824842453;2002-05-29
-0.8524180054664612;-0.922243058681488;2002-05-30
-0.8499778509140015;-0.9256503582000732;2002-05-31
-0.8467193841934204;-0.9249569773674011;2002-06-01
-0.8514935374259949;-0.918069064617157;2002-06-02
-0.8623351454734802;-0.9113319516181946;2002-06-03
-0.8766102194786072;-0.9002556204795837;2002-06-04
-0.8852667212486267;-0.9033727645874023;2002-06-05
-0.8949418067932129;-0.907026469707489;2002-06-06
-0.8967512845993042;-0.9063422083854675;2002-06-07
-0.8917917013168335;-0.9096958041191101;2002-06-08
-0.8802743554115295;-0.9082998633384705;2002-06-09
-0.8691720366477966;-0.9091829061508179;2002-06-10
-0.8609437942504883;-0.9139361381530762;2002-06-11
-0.8500066995620728;-0.9135820269584656;2002-06-12
-0.8406208753585815;-0.9167761206626892;2002-06-13
-0.842948317527771;-0.9211556911468506;2002-06-14
-0.851486325263977;-0.9262707829475403;2002-06-15
-0.8601312041282654;-0.9313884377479553;2002-06-16
-0.8812968730926514;-0.9399071931838989;2002-06-17
-0.8918489217758179;-0.9468808174133301;2002-06-18
-0.8933139443397522;-0.9466835856437683;2002-06-19
-0.8956847786903381;-0.931908130645752;2002-06-20
-0.893104612827301;-0.9120408892631531;2002-06-21
-0.8939996361732483;-0.8938547968864441;2002-06-22
-0.8954250812530518;-0.8809395432472229;2002-06-23
-0.8941559195518494;-0.8848952054977417;2002-06-24
-0.8895012140274048;-0.887591540813446;2002-06-25
-0.8868222236633301;-0.9006401300430298;2002-06-26
-0.8839558362960815;-0.9159412980079651;2002-06-27
-0.879079282283783;-0.9305057525634766;2002-06-28
-0.8681272864341736;-0.9438385963439941;2002-06-29
-0.8639206290245056;-0.9493539929389954;2002-06-30
-0.8658923506736755;-0.9500857591629028;2002-07-01
-0.8745507001876831;-0.9499765038490295;2002-07-02
-0.8838256597518921;-0.9502285122871399;2002-07-03
-0.89405357837677;-0.9474587440490723;2002-07-04
-0.9027671813964844;-0.9372490048408508;2002-07-05
-0.9034450650215149;-0.932805597782135;2002-07-06
-0.9001068472862244;-0.9264078140258789;2002-07-07
-0.8890231847763062;-0.9198925495147705;2002-07-08
-0.8716804385185242;-0.9132722616195679;2002-07-09
-0.8598354458808899;-0.9117377400398254;2002-07-10
-0.843309223651886;-0.9109629988670349;2002-07-11
-0.8311952948570251;-0.9046983122825623;2002-07-12
-0.8194027543067932;-0.900796115398407;2002-07-13
-0.8166041374206543;-0.8983988165855408;2002-07-14
-0.81473708152771;-0.8930066823959351;2002-07-15
-0.8110151290893555;-0.8877899050712585;2002-07-16
-0.8117586970329285;-0.8888881206512451;2002-07-17
-0.8192970752716064;-0.8934816718101501;2002-07-18
-0.8270796537399292;-0.8924124240875244;2002-07-19
-0.8376520872116089;-0.8928660750389099;2002-07-20
-0.8484184741973877;-0.8876509666442871;2002-07-21
-0.862952470779419;-0.8848284482955933;2002-07-22
-0.8674587607383728;-0.8839002847671509;2002-07-23
-0.8708508014678955;-0.8878441452980042;2002-07-24
-0.8657279014587402;-0.8979507684707642;2002-07-25
-0.8604560494422913;-0.9072706699371338;2002-07-26
-0.8508001565933228;-0.9191911816596985;2002-07-27
-0.8531466722488403;-0.9268521070480347;2002-07-28
-0.8501635789871216;-0.9300659894943237;2002-07-29
-0.8628342747688293;-0.9273653030395508;2002-07-30
-0.8626190423965454;-0.9241607785224915;2002-07-31
-0.8647289276123047;-0.920630931854248;2002-08-01
-0.8739888072013855;-0.9210607409477234;2002-08-02
-0.8703053593635559;-0.9167449474334717;2002-08-03
-0.8694245219230652;-0.9054259061813354;2002-08-04
-0.8670428395271301;-0.8949040174484253;2002-08-05
-0.8613877892494202;-0.8865148425102234;2002-08-06
-0.8585238456726074;-0.8860989809036255;2002-08-07
-0.854790449142456;-0.8890172839164734;2002-08-08
-0.8518298268318176;-0.8917531371116638;2002-08-09
-0.8492000699043274;-0.8998622298240662;2002-08-10
-0.8454933762550354;-0.9126198887825012;2002-08-11
-0.8421014547348022;-0.9183302521705627;2002-08-12
-0.8339134454727173;-0.9150930643081665;2002-08-13
-0.8265830278396606;-0.9106677770614624;2002-08-14
-0.8291684985160828;-0.9074543118476868;2002-08-15
-0.8237292170524597;-0.9011783003807068;2002-08-16
-0.8181507587432861;-0.8908787369728088;2002-08-17
-0.8182481527328491;-0.8785585761070251;2002-08-18
-0.82558673620224;-0.868720293045044;2002-08-19
-0.833985447883606;-0.8562385439872742;2002-08-20
-0.8419364094734192;-0.8530206084251404;2002-08-21
-0.8497945666313171;-0.8568513989448547;2002-08-22
-0.8503121733665466;-0.8693526387214661;2002-08-23
-0.8425779342651367;-0.8810185790061951;2002-08-24
-0.8253728151321411;-0.8817366361618042;2002-08-25
-0.8136482834815979;-0.8907151818275452;2002-08-26
-0.8037829399108887;-0.8945670127868652;2002-08-27
-0.8043497800827026;-0.8928959965705872;2002-08-28
-0.807911217212677;-0.9029115438461304;2002-08-29
-0.8175156712532043;-0.8982597589492798;2002-08-30
-0.8121250867843628;-0.8889396786689758;2002-08-31
-0.8151623010635376;-0.8782580494880676;2002-09-01
-0.8233668804168701;-0.8681210875511169;2002-09-02
-0.8380802273750305;-0.8698915243148804;2002-09-03
-0.8436883091926575;-0.8600860834121704;2002-09-04
-0.8472020626068115;-0.8559331893920898;2002-09-05
-0.8469708561897278;-0.8597385287284851;2002-09-06
-0.8421348333358765;-0.8615708947181702;2002-09-07
-0.8338662385940552;-0.860464334487915;2002-09-08
-0.827968180179596;-0.8657680749893188;2002-09-09
-0.8202264308929443;-0.8658952116966248;2002-09-10
-0.8129874467849731;-0.8851497173309326;2002-09-11
-0.8024312257766724;-0.8813902735710144;2002-09-12
-0.7967751026153564;-0.8756192922592163;2002-09-13
-0.7899585962295532;-0.8682395815849304;2002-09-14
-0.8142149448394775;-0.8652928471565247;2002-09-15
-0.8298036456108093;-0.8746037483215332;2002-09-16
-0.8350287079811096;-0.8720782399177551;2002-09-17
-0.8505169749259949;-0.8572070002555847;2002-09-18
-0.853153645992279;-0.8480807542800903;2002-09-19
-0.850934624671936;-0.8432642817497253;2002-09-20
-0.8416134715080261;-0.8444182276725769;2002-09-21
-0.8303552269935608;-0.8483184576034546;2002-09-22
-0.8220883011817932;-0.8647488355636597;2002-09-23
-0.7940077185630798;-0.8807797431945801;2002-09-24
-0.7826152443885803;-0.8668043613433838;2002-09-25
-0.7933939099311829;-0.8577447533607483;2002-09-26
-0.7820112109184265;-0.8535018563270569;2002-09-27
-0.7774283289909363;-0.8539527058601379;2002-09-28
-0.7793002128601074;-0.8493284583091736;2002-09-29
-0.7961685657501221;-0.8430693745613098;2002-09-30
-0.8118188381195068;-0.8526626825332642;2002-10-01
-0.820397675037384;-0.8654689788818359;2002-10-02
-0.8178290128707886;-0.8326920866966248;2002-10-03
-0.8119326233863831;-0.8046735525131226;2002-10-04
-0.8030487895011902;-0.7878894805908203;2002-10-05
-0.8028005361557007;-0.7882212400436401;2002-10-06
-0.8058905005455017;-0.7972660064697266;2002-10-07
-0.8037547469139099;-0.8076299428939819;2002-10-08
-0.7892127633094788;-0.8105964064598083;2002-10-09
-0.780203104019165;-0.8123588562011719;2002-10-10
-0.7684811353683472;-0.8165499567985535;2002-10-11
-0.7654641270637512;-0.8197146058082581;2002-10-12
-0.7671800255775452;-0.8184612393379211;2002-10-13
-0.7801395058631897;-0.8136425614356995;2002-10-14
-0.7983599901199341;-0.8198516964912415;2002-10-15
-0.813104510307312;-0.8285303115844727;2002-10-16
-0.8365679979324341;-0.8366947770118713;2002-10-17
-0.8741183876991272;-0.8474934101104736;2002-10-18
-0.9166512489318848;-0.8569422960281372;2002-10-19
-0.9521357417106628;-0.8586264252662659;2002-10-20
-0.9161126017570496;-0.8469526171684265;2002-10-21
-0.8691514730453491;-0.8387458324432373;2002-10-22
-0.8476589322090149;-0.8410965800285339;2002-10-23
-0.8433889150619507;-0.8492217063903809;2002-10-24
-0.8371086120605469;-0.8662697672843933;2002-10-25
-0.8653460741043091;-0.8794842958450317;2002-10-26
-0.866046130657196;-0.8805173635482788;2002-10-27
-0.89850252866745;-0.8833960890769958;2002-10-28
-0.8910853862762451;-0.887610673904419;2002-10-29
-0.8812394738197327;-0.885401725769043;2002-10-30
-0.8738318681716919;-0.8611409664154053;2002-10-31
-0.8625163435935974;-0.8443596363067627;2002-11-01
-0.8591246604919434;-0.837871253490448;2002-11-02
-0.8428570032119751;-0.8116961121559143;2002-11-03
-0.8270010948181152;-0.7915007472038269;2002-11-04
-0.8326583504676819;-0.7907926440238953;2002-11-05
-0.8153504133224487;-0.7998911738395691;2002-11-06
-0.8038540482521057;-0.8088743686676025;2002-11-07
-0.7953241467475891;-0.818534791469574;2002-11-08
-0.7949020862579346;-0.8304306864738464;2002-11-09
-0.7962906360626221;-0.8405961394309998;2002-11-10
-0.7949262261390686;-0.8381465673446655;2002-11-11
-0.7957585453987122;-0.829296350479126;2002-11-12
-0.8029093146324158;-0.8262856602668762;2002-11-13
-0.8173708915710449;-0.8306637406349182;2002-11-14
-0.8377838730812073;-0.8357817530632019;2002-11-15
-0.8566176891326904;-0.8374094367027283;2002-11-16
-0.8629045486450195;-0.8368561267852783;2002-11-17
-0.8615173101425171;-0.8329803347587585;2002-11-18
-0.8652880191802979;-0.8375220894813538;2002-11-19
-0.8478617668151855;-0.8336454629898071;2002-11-20
-0.8262889385223389;-0.8291304111480713;2002-11-21
-0.8144701719284058;-0.8385854363441467;2002-11-22
-0.8125772476196289;-0.8305178284645081;2002-11-23
-0.8061133027076721;-0.8318372368812561;2002-11-24
-0.8053050637245178;-0.8313302397727966;2002-11-25
-0.8050260543823242;-0.8234637379646301;2002-11-26
-0.7887407541275024;-0.8138691782951355;2002-11-27
-0.7863684296607971;-0.8032578825950623;2002-11-28
-0.8054457902908325;-0.8150365948677063;2002-11-29
-0.8262413144111633;-0.8389391899108887;2002-11-30
-0.8443875312805176;-0.8444810509681702;2002-12-01
-0.8611149191856384;-0.8409696817398071;2002-12-02
-0.8673585057258606;-0.831290602684021;2002-12-03
-0.8646203875541687;-0.8348785042762756;2002-12-04
-0.8487482070922852;-0.8265219330787659;2002-12-05
-0.8308296799659729;-0.8156951069831848;2002-12-06
-0.8131423592567444;-0.8069320321083069;2002-12-07
-0.8113040924072266;-0.8233559727668762;2002-12-08
-0.8015894293785095;-0.8532488346099854;2002-12-09
-0.8048962354660034;-0.8407835960388184;2002-12-10
-0.8092633485794067;-0.8234684467315674;2002-12-11
-0.8108067512512207;-0.8193325996398926;2002-12-12
-0.829538881778717;-0.8148110508918762;2002-12-13
-0.857423722743988;-0.8111820220947266;2002-12-14
-0.8780684471130371;-0.8215355277061462;2002-12-15
-0.8969749212265015;-0.8167513608932495;2002-12-16
-0.8787202835083008;-0.8276744484901428;2002-12-17
-0.8631384372711182;-0.8459625840187073;2002-12-18
-0.8720985651016235;-0.860108494758606;2002-12-19
-0.8530071377754211;-0.8587599396705627;2002-12-20
-0.8358614444732666;-0.8376519083976746;2002-12-21
-0.8207327723503113;-0.8242583274841309;2002-12-22
-0.82040935754776;-0.8148504495620728;2002-12-23
-0.8094239234924316;-0.8141332864761353;2002-12-24
-0.8063299655914307;-0.8036981821060181;2002-12-25
-0.8031712174415588;-0.7995400428771973;2002-12-26
-0.8018690347671509;-0.801193356513977;2002-12-27
-0.8086378574371338;-0.8026125431060791;2002-12-28
-0.8313503861427307;-0.8005129098892212;2002-12-29
-0.8388420343399048;-0.7996771931648254;2002-12-30
-0.8433641195297241;-0.8027079105377197;2002-12-31
