dates;sea_level
2014-01-01;-0.2052
2014-01-02;-0.2025
2014-01-03;-0.2009
2014-01-04;-0.1966
2014-01-05;-0.2005
2014-01-06;-0.2021
2014-01-07;-0.2092
2014-01-08;-0.2168
2014-01-09;-0.2241
2014-01-10;-0.2333
2014-01-11;-0.2392
2014-01-12;-0.2371
2014-01-13;-0.2381
2014-01-14;-0.2412
2014-01-15;-0.2394
2014-01-16;-0.2441
2014-01-17;-0.2454
2014-01-18;-0.2487
2014-01-19;-0.2487
2014-01-20;-0.2493
2014-01-21;-0.2478
2014-01-22;-0.2524
2014-01-23;-0.2519
2014-01-24;-0.25570000000000004
2014-01-25;-0.2595
2014-01-26;-0.2556
2014-01-27;-0.26230000000000003
2014-01-28;-0.2561
2014-01-29;-0.2612
2014-01-30;-0.2602
2014-01-31;-0.2646
2014-02-01;-0.272
2014-02-02;-0.28090000000000004
2014-02-03;-0.29350000000000004
2014-02-04;-0.2984
2014-02-05;-0.3064
2014-02-06;-0.3139
2014-02-07;-0.3205
2014-02-08;-0.32580000000000003
2014-02-09;-0.33240000000000003
2014-02-10;-0.3371
2014-02-11;-0.3457
2014-02-12;-0.3533
2014-02-13;-0.3633
2014-02-14;-0.3639
2014-02-15;-0.3681
2014-02-16;-0.3684
2014-02-17;-0.3654
2014-02-18;-0.3629
2014-02-19;-0.3629
2014-02-20;-0.3618
2014-02-21;-0.36010000000000003
2014-02-22;-0.3593
2014-02-23;-0.3527
2014-02-24;-0.3453
2014-02-25;-0.3346
2014-02-26;-0.3275
2014-02-27;-0.31970000000000004
2014-02-28;-0.3133
2014-03-01;-0.305
2014-03-02;-0.3019
2014-03-03;-0.3023
2014-03-04;-0.29250000000000004
2014-03-05;-0.2849
2014-03-06;-0.2747
2014-03-07;-0.2707
2014-03-08;-0.2541
2014-03-09;-0.2463
2014-03-10;-0.2464
2014-03-11;-0.2435
2014-03-12;-0.2495
2014-03-13;-0.256
2014-03-14;-0.2639
2014-03-15;-0.2672
2014-03-16;-0.2736
2014-03-17;-0.2772
2014-03-18;-0.2811
2014-03-19;-0.27940000000000004
2014-03-20;-0.2775
2014-03-21;-0.27699999999999997
2014-03-22;-0.2758
2014-03-23;-0.2807
2014-03-24;-0.28340000000000004
2014-03-25;-0.29250000000000004
2014-03-26;-0.2977
2014-03-27;-0.3088
2014-03-28;-0.32080000000000003
2014-03-29;-0.3312
2014-03-30;-0.34400000000000003
2014-03-31;-0.3546
2014-04-01;-0.3482
2014-04-02;-0.3476
2014-04-03;-0.3446
2014-04-04;-0.3431
2014-04-05;-0.3437
2014-04-06;-0.3416
2014-04-07;-0.3387
2014-04-08;-0.3402
2014-04-09;-0.3422
2014-04-10;-0.3387
2014-04-11;-0.33230000000000004
2014-04-12;-0.3295
2014-04-13;-0.32380000000000003
2014-04-14;-0.32220000000000004
2014-04-15;-0.3176
2014-04-16;-0.313
2014-04-17;-0.311
2014-04-18;-0.31170000000000003
2014-04-19;-0.31270000000000003
2014-04-20;-0.3133
2014-04-21;-0.3163
2014-04-22;-0.3174
2014-04-23;-0.3209
2014-04-24;-0.318
2014-04-25;-0.3171
2014-04-26;-0.3168
2014-04-27;-0.3181
2014-04-28;-0.32030000000000003
2014-04-29;-0.3181
2014-04-30;-0.31320000000000003
2014-05-01;-0.31070000000000003
2014-05-02;-0.3114
2014-05-03;-0.3106
2014-05-04;-0.3133
2014-05-05;-0.32030000000000003
2014-05-06;-0.3201
2014-05-07;-0.3262
2014-05-08;-0.3312
2014-05-09;-0.3371
2014-05-10;-0.34450000000000003
2014-05-11;-0.3481
2014-05-12;-0.3496
2014-05-13;-0.3451
2014-05-14;-0.34750000000000003
2014-05-15;-0.34650000000000003
2014-05-16;-0.3458
2014-05-17;-0.3425
2014-05-18;-0.3378
2014-05-19;-0.3361
2014-05-20;-0.33240000000000003
2014-05-21;-0.3316
2014-05-22;-0.33130000000000004
2014-05-23;-0.3335
2014-05-24;-0.33680000000000004
2014-05-25;-0.33480000000000004
2014-05-26;-0.3406
2014-05-27;-0.3407
2014-05-28;-0.3407
2014-05-29;-0.34400000000000003
2014-05-30;-0.3467
2014-05-31;-0.3497
2014-06-01;-0.3526
2014-06-02;-0.3564
2014-06-03;-0.35450000000000004
2014-06-04;-0.34990000000000004
2014-06-05;-0.34740000000000004
2014-06-06;-0.3452
2014-06-07;-0.3418
2014-06-08;-0.3397
2014-06-09;-0.3408
2014-06-10;-0.34140000000000004
2014-06-11;-0.3513
2014-06-12;-0.3523
2014-06-13;-0.3486
2014-06-14;-0.34550000000000003
2014-06-15;-0.3438
2014-06-16;-0.33640000000000003
2014-06-17;-0.32680000000000003
2014-06-18;-0.3267
2014-06-19;-0.32880000000000004
2014-06-20;-0.33190000000000003
2014-06-21;-0.3291
2014-06-22;-0.33140000000000003
2014-06-23;-0.3302
2014-06-24;-0.3242
2014-06-25;-0.32170000000000004
2014-06-26;-0.3221
2014-06-27;-0.3201
2014-06-28;-0.3126
2014-06-29;-0.306
2014-06-30;-0.3032
2014-07-01;-0.299
2014-07-02;-0.2979
2014-07-03;-0.2953
2014-07-04;-0.2931
2014-07-05;-0.2919
2014-07-06;-0.29550000000000004
2014-07-07;-0.2984
2014-07-08;-0.30060000000000003
2014-07-09;-0.3053
2014-07-10;-0.3043
2014-07-11;-0.3014
2014-07-12;-0.3013
2014-07-13;-0.2989
2014-07-14;-0.2967
2014-07-15;-0.2982
2014-07-16;-0.2977
2014-07-17;-0.2972
2014-07-18;-0.2952
2014-07-19;-0.29600000000000004
2014-07-20;-0.2927
2014-07-21;-0.2901
2014-07-22;-0.2931
2014-07-23;-0.2995
2014-07-24;-0.3058
2014-07-25;-0.3088
2014-07-26;-0.31420000000000003
2014-07-27;-0.3149
2014-07-28;-0.31520000000000004
2014-07-29;-0.31320000000000003
2014-07-30;-0.3116
2014-07-31;-0.30960000000000004
2014-08-01;-0.3098
2014-08-02;-0.30810000000000004
2014-08-03;-0.30770000000000003
2014-08-04;-0.315
2014-08-05;-0.32
2014-08-06;-0.324
2014-08-07;-0.3287
2014-08-08;-0.335
2014-08-09;-0.33240000000000003
2014-08-10;-0.33340000000000003
2014-08-11;-0.3341
2014-08-12;-0.331
2014-08-13;-0.32930000000000004
2014-08-14;-0.3247
2014-08-15;-0.31970000000000004
2014-08-16;-0.3138
2014-08-17;-0.3104
2014-08-18;-0.3069
2014-08-19;-0.30970000000000003
2014-08-20;-0.31320000000000003
2014-08-21;-0.31420000000000003
2014-08-22;-0.3221
2014-08-23;-0.32030000000000003
2014-08-24;-0.3225
2014-08-25;-0.3179
2014-08-26;-0.31930000000000003
2014-08-27;-0.3141
2014-08-28;-0.3126
2014-08-29;-0.3131
2014-08-30;-0.3129
2014-08-31;-0.3126
2014-09-01;-0.3124
2014-09-02;-0.3115
2014-09-03;-0.313
2014-09-04;-0.3116
2014-09-05;-0.30960000000000004
2014-09-06;-0.3079
2014-09-07;-0.3025
2014-09-08;-0.2984
2014-09-09;-0.2937
2014-09-10;-0.2874
2014-09-11;-0.2806
2014-09-12;-0.27940000000000004
2014-09-13;-0.2722
2014-09-14;-0.27590000000000003
2014-09-15;-0.276
2014-09-16;-0.2832
2014-09-17;-0.28900000000000003
2014-09-18;-0.29450000000000004
2014-09-19;-0.2958
2014-09-20;-0.2972
2014-09-21;-0.298
2014-09-22;-0.29400000000000004
2014-09-23;-0.29000000000000004
2014-09-24;-0.2884
2014-09-25;-0.2771
2014-09-26;-0.2726
2014-09-27;-0.2611
2014-09-28;-0.25570000000000004
2014-09-29;-0.2453
2014-09-30;-0.2372
2014-10-01;-0.2326
2014-10-02;-0.2335
2014-10-03;-0.2362
2014-10-04;-0.24
2014-10-05;-0.248
2014-10-06;-0.25320000000000004
2014-10-07;-0.2546
2014-10-08;-0.2545
2014-10-09;-0.2497
2014-10-10;-0.2442
2014-10-11;-0.2358
2014-10-12;-0.2333
2014-10-13;-0.2296
2014-10-14;-0.2313
2014-10-15;-0.235
2014-10-16;-0.2401
2014-10-17;-0.2491
2014-10-18;-0.258
2014-10-19;-0.263
2014-10-20;-0.2677
2014-10-21;-0.27140000000000003
2014-10-22;-0.2684
2014-10-23;-0.26580000000000004
2014-10-24;-0.2565
2014-10-25;-0.2469
2014-10-26;-0.2324
2014-10-27;-0.2158
2014-10-28;-0.2069
2014-10-29;-0.2008
2014-10-30;-0.2001
2014-10-31;-0.2085
2014-11-01;-0.2117
2014-11-02;-0.2177
2014-11-03;-0.2172
2014-11-04;-0.2188
2014-11-05;-0.2143
2014-11-06;-0.2091
2014-11-07;-0.205
2014-11-08;-0.2001
2014-11-09;-0.2033
2014-11-10;-0.2044
2014-11-11;-0.206
2014-11-12;-0.2068
2014-11-13;-0.2073
2014-11-14;-0.2096
2014-11-15;-0.2026
2014-11-16;-0.2065
2014-11-17;-0.2062
2014-11-18;-0.2053
2014-11-19;-0.2087
2014-11-20;-0.2084
2014-11-21;-0.2128
2014-11-22;-0.2189
2014-11-23;-0.2248
2014-11-24;-0.2282
2014-11-25;-0.2322
2014-11-26;-0.2375
2014-11-27;-0.2427
2014-11-28;-0.2435
2014-11-29;-0.2468
2014-11-30;-0.2491
2014-12-01;-0.24750000000000005
2014-12-02;-0.2518
2014-12-03;-0.2558
2014-12-04;-0.2622
2014-12-05;-0.2717
2014-12-06;-0.2874
2014-12-07;-0.3
2014-12-08;-0.31220000000000003
2014-12-09;-0.3221
2014-12-10;-0.32480000000000003
2014-12-11;-0.32899999999999996
2014-12-12;-0.33130000000000004
2014-12-13;-0.33380000000000004
2014-12-14;-0.3402
2014-12-15;-0.3431
2014-12-16;-0.34240000000000004
2014-12-17;-0.3438
2014-12-18;-0.3397
2014-12-19;-0.3306
2014-12-20;-0.3209
2014-12-21;-0.31820000000000004
2014-12-22;-0.3088
2014-12-23;-0.30310000000000004
2014-12-24;-0.29410000000000003
2014-12-25;-0.28650000000000003
2014-12-26;-0.2741
2014-12-27;-0.2679
2014-12-28;-0.2632
2014-12-29;-0.2609
2014-12-30;-0.2635
2014-12-31;-0.2676
